time_passed,force_0,force_1,force_2,force_3
0.004,0.423828125,0.205078125,0.503875732422,0.691375732422
0.004,0.392578125,0.236328125,0.4609375,0.662078857422
0.004,0.357421875,0.087890625,0.412109375,0.673797607422
0.004,0.39453125,0.1328125,0.451171875,0.701141357422
0.004,0.4296875,0.302734375,0.466796875,0.669891357422
0.004,0.361328125,0.171875,0.447265625,0.640594482422
0.004,0.396484375,0.056640625,0.458984375,0.679656982422
0.004,0.396484375,0.158203125,0.458984375,0.667938232422
0.004,0.396484375,0.158203125,0.458984375,0.667938232422
0.004,0.396484375,0.169921875,0.458984375,0.667938232422
0.004,0.396484375,0.169921875,0.466796875,0.677703857422
0.004,0.396484375,0.18359375,0.466796875,0.687469482422
0.004,0.408203125,0.16796875,0.466796875,0.679656982422
0.004,0.44140625,0.232421875,0.466796875,0.699188232422
0.004,0.390625,1.2509765625,1.99996948242,1.99996948242
0.004,0.556610107422,0.162109375,0.455078125,0.675750732422
0.004,0.38671875,0.212890625,0.507781982422,0.675750732422
0.004,0.38671875,0.095703125,0.455078125,0.691375732422
0.004,0.42578125,0.130859375,0.455078125,0.716766357422
0.004,0.4140625,0.271484375,0.470703125,0.671844482422
0.004,0.37109375,0.16796875,0.4296875,0.640594482422
0.004,0.37109375,0.04296875,0.470703125,0.673797607422
0.004,0.4296875,0.208984375,0.501922607422,0.691375732422
0.004,0.392578125,0.24609375,0.458984375,0.664031982422
0.004,0.3515625,0.091796875,0.421875,0.664031982422
0.004,0.38671875,0.130859375,0.451171875,0.701141357422
0.004,0.431640625,0.314453125,0.46484375,0.671844482422
0.004,0.361328125,0.171875,0.451171875,0.642547607422
0.004,0.380859375,0.060546875,0.451171875,0.681610107422
0.004,0.447265625,0.1484375,0.494140625,0.699188232422
0.004,0.3984375,0.255859375,0.453125,0.669891357422
0.004,0.3984375,0.134765625,0.421875,0.677703857422
0.004,0.3984375,0.162109375,0.4609375,0.677703857422
0.004,0.3984375,0.162109375,0.4609375,0.677703857422
0.004,0.384765625,0.162109375,0.4609375,0.677703857422
0.004,0.400390625,0.1484375,0.44921875,0.664031982422
0.004,0.373046875,0.181640625,0.466796875,0.693328857422
0.004,0.3515625,0.099609375,0.447265625,0.679656982422
0.004,0.451171875,0.142578125,0.373046875,0.671844482422
0.004,0.4296875,0.18359375,0.458984375,0.671844482422
0.004,0.447265625,0.171875,0.458984375,0.671844482422
0.004,0.392578125,0.296875,0.3828125,0.642547607422
0.004,0.375,0.1796875,0.41796875,0.642547607422
0.004,0.36328125,0.037109375,0.470703125,0.673797607422
0.004,0.431640625,0.197265625,0.511688232422,0.691375732422
0.004,0.39453125,0.251953125,0.458984375,0.667938232422
0.004,0.345703125,0.09765625,0.419921875,0.667938232422
0.004,0.37890625,0.126953125,0.453125,0.693328857422
0.004,0.431640625,0.322265625,0.462890625,0.667938232422
0.004,0.36328125,0.171875,0.455078125,0.640594482422
0.004,0.380859375,0.064453125,0.455078125,0.681610107422
0.004,0.447265625,0.150390625,0.4921875,0.701141357422
0.004,0.40234375,0.244140625,0.455078125,0.673797607422
0.004,0.353515625,0.142578125,0.431640625,0.646453857422
0.004,0.353515625,0.099609375,0.458984375,0.689422607422
0.004,0.376953125,0.267578125,0.48046875,0.689422607422
0.004,0.390625,0.154296875,0.45703125,0.675750732422
0.004,0.390625,0.169921875,0.45703125,0.675750732422
0.004,0.390625,0.162109375,0.45703125,0.675750732422
0.004,0.390625,0.171875,0.45703125,0.675750732422
0.004,0.4140625,0.171875,0.45703125,0.675750732422
0.004,0.396484375,0.201171875,0.470703125,0.695281982422
0.004,0.373046875,0.15625,0.470703125,0.683563232422
0.004,0.39453125,0.18359375,0.48046875,0.703094482422
0.004,0.419921875,0.1640625,0.46875,0.685516357422
0.004,0.40234375,0.283203125,0.4921875,0.685516357422
0.004,0.439453125,0.22265625,0.546844482422,0.685516357422
0.004,0.396484375,0.263671875,0.466796875,0.685516357422
0.004,0.34375,0.09765625,0.423828125,0.664031982422
0.004,0.375,0.12109375,0.455078125,0.695281982422
0.004,0.435546875,0.328125,0.462890625,0.669891357422
0.004,0.359375,0.17578125,0.462890625,0.642547607422
0.004,0.37890625,0.06640625,0.447265625,0.683563232422
0.004,0.451171875,0.142578125,0.486328125,0.701141357422
0.004,0.40234375,0.234375,0.453125,0.669891357422
0.004,0.357421875,0.1484375,0.431640625,0.644500732422
0.004,0.357421875,0.08984375,0.4609375,0.677703857422
0.004,0.42578125,0.255859375,0.482421875,0.691375732422
0.004,0.375,0.189453125,0.466796875,0.644500732422
0.004,0.375,0.08984375,0.41015625,0.685516357422
0.004,0.392578125,0.134765625,0.46484375,0.716766357422
0.004,0.392578125,0.1640625,0.46484375,0.677703857422
0.004,0.392578125,0.1640625,0.45703125,0.669891357422
0.004,0.392578125,0.1640625,0.45703125,0.677703857422
0.004,0.392578125,0.1640625,0.45703125,0.677703857422
0.004,0.41015625,0.126953125,0.45703125,0.677703857422
0.004,0.3828125,0.181640625,0.45703125,0.677703857422
0.004,0.435546875,0.154296875,0.45703125,0.677703857422
0.004,0.392578125,0.119140625,0.474609375,0.689422607422
0.004,0.4609375,0.16796875,0.455078125,0.673797607422
0.004,0.31640625,0.23046875,0.388671875,0.734344482422
0.004,0.359375,0.109375,0.400390625,0.675750732422
0.004,0.427734375,0.341796875,0.44921875,0.667938232422
0.004,0.36328125,0.171875,0.458984375,0.638641357422
0.004,0.3828125,0.06640625,0.447265625,0.681610107422
0.004,0.451171875,0.142578125,0.486328125,0.703094482422
0.004,0.40234375,0.232421875,0.455078125,0.675750732422
0.004,0.357421875,0.154296875,0.431640625,0.642547607422
0.004,0.357421875,0.08203125,0.46484375,0.677703857422
0.004,0.41796875,0.244140625,0.486328125,0.693328857422
0.004,0.380859375,0.205078125,0.462890625,0.652313232422
0.004,0.380859375,0.091796875,0.408203125,0.679656982422
0.004,0.41796875,0.134765625,0.4609375,0.716766357422
0.004,0.41796875,0.2734375,0.4609375,0.669891357422
0.004,0.373046875,0.169921875,0.4296875,0.640594482422
0.004,0.396484375,0.0390625,0.470703125,0.675750732422
0.004,0.396484375,0.158203125,0.453125,0.675750732422
0.004,0.396484375,0.158203125,0.453125,0.675750732422
0.004,0.396484375,0.16796875,0.453125,0.675750732422
0.004,0.396484375,0.201171875,0.462890625,0.675750732422
0.004,0.396484375,0.181640625,0.462890625,0.689422607422
0.004,0.41015625,0.1640625,0.462890625,0.677703857422
0.004,0.435546875,0.234375,0.484375,0.689422607422
0.004,0.380859375,1.99996948242,1.99996948242,1.99996948242
0.004,0.486328125,0.162109375,0.453125,0.673797607422
0.004,0.376953125,0.212890625,0.494140625,0.673797607422
0.004,0.38671875,0.078125,0.474609375,0.683563232422
0.004,0.453125,0.140625,0.474609375,0.710906982422
0.004,0.404296875,0.232421875,0.462890625,0.673797607422
0.004,0.357421875,0.158203125,0.4296875,0.644500732422
0.004,0.357421875,0.076171875,0.46484375,0.673797607422
